FLIGHT_IDENTIFIER,ARRIVAL_EPOCH,ARRIVAL_DELAY
N442WNMDWSLC23668725,23668921.0,-19.0
N772SWSTLSAT23668780,23668922.0,2.0
N215WNPHXMDW23668745,23668922.0,-18.0
N649SWSEASAN23668775,23668922.0,-18.0
N376SWAUSPHX23668770,23668922.0,-3.0
N615SWBOSATL23668735,23668922.0,2.0
N242WNMDWPVD23668815,23668923.0,-12.0
N7748AMCIMKE23668840,23668923.0,-2.0
N241WNDALMCI23668850,23668925.0,-10.0
N293WNLASBWI23668680,23668925.0,-25.0
N475WNDALPHX23668770,23668925.0,-5.0
N8643APHXLAS23668855,23668926.0,6.0
N493WNMCOCAK23668790,23668926.0,-4.0
N364SWTULPHX23668760,23668927.0,2.0
N243WNATLSAT23668760,23668927.0,27.0
N401WNRSWIND23668785,23668927.0,-8.0
N498WNDENLAX23668795,23668927.0,-18.0
N789SWMCOMCI23668745,23668927.0,2.0
N612SWINDTPA23668800,23668927.0,-3.0
N748SWLITMDW23668840,23668927.0,-13.0
N651SWSTLDAL23668815,23668927.0,7.0
N904WNHOUSAN23668730,23668928.0,-12.0
N420WNMDWDAL23668780,23668928.0,-2.0
N452WNSMFLAS23668840,23668928.0,8.0
N453WNOKCHOU23668835,23668928.0,8.0
N360SWPHLBNA23668790,23668928.0,8.0
N399WNMSYHOU23668865,23668929.0,-11.0
N409WNPHLATL23668800,23668929.0,-1.0
N771SALASSAT23668780,23668929.0,-1.0
N288WNPHXELP23668865,23668930.0,0.0
N270WNRDUDEN23668680,23668930.0,5.0
N357SWATLDTW23668820,23668930.0,-10.0
N277WNSDFPHX23668670,23668930.0,5.0
N487WNMDWATL23668830,23668931.0,-4.0
N374SWMCOATL23668855,23668931.0,-24.0
N483WNMDWMSY23668795,23668931.0,1.0
N256WNOKCPHX23668775,23668932.0,7.0
N8626BPBIBWI23668810,23668932.0,-23.0
N8634AMDWHOU23668770,23668932.0,-8.0
N924WNMSPMDW23668860,23668932.0,-23.0
N908WNPHXSAN23668860,23668932.0,2.0
N8323CLASDAL23668780,23668933.0,-2.0
N655WNSFOLAX23668865,23668933.0,-12.0
N798SWSATLAS23668770,23668933.0,-17.0
N922WNFLLBUF23668730,23668933.0,23.0
N562WNMDWMHT23668830,23668934.0,-11.0
N7733BMSYDAL23668855,23668934.0,-6.0
N641SWLASONT23668890,23668935.0,-10.0
N473WNPHLDEN23668665,23668935.0,10.0
